detailFund.acronym,detailFund.tradingName,detailFund.tradingCode,detailFund.tradingCodeOthers,detailFund.cnpj,detailFund.classification,detailFund.webSite,detailFund.fundAddress,detailFund.fundPhoneNumberDDD,detailFund.fundPhoneNumber,detailFund.fundPhoneNumberFax,detailFund.positionManager,detailFund.managerName,detailFund.companyAddress,detailFund.companyPhoneNumberDDD,detailFund.companyPhoneNumber,detailFund.companyPhoneNumberFax,detailFund.companyEmail,detailFund.companyName,detailFund.quotaCount,detailFund.quotaDateApproved,detailFund.typeFNET,detailFund.codes,detailFund.codesOther,detailFund.segment,shareHolder.shareHolderName,shareHolder.shareHolderAddress,shareHolder.shareHolderPhoneNumberDDD,shareHolder.shareHolderPhoneNumber,shareHolder.shareHolderFaxNumber,shareHolder.shareHolderEmail,url
KNRI,FII KINEA   ,KNRI11 ,,12005956000165,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.intrag.com.br,BRIGADEIRO FARIA LIMA - CEP: 4538132 CIDADE: SÃO PAULO UF: SP,11,36312943,30726228,DIRETOR RESPONSAVEL                     ,ROBERTA ANCHIETA SILVA,BRIGADEIRO FARIA LIMA - CEP: 4538132 CIDADE: SÃO PAULO UF: SP,11,36312943,30726228,relacionamento.reguladores@itau-unibanco.com.br,KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII        ,24157121,2021-05-24,,['KNRI11'],,,ITAU CORRETORA ACOES                    ,RUA BOA VISTA 176 - 1.SUBSOLO - CEP: 1013001 Cidade: SÃO PAULO UF: SP,11,30039285,0,investfone@itau-unibanco.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjEyMDA1OTU2MDAwMTY1IiwiaWRlbnRpZmllckZ1bmQiOiJLTlJJIn0=
PRZS,FII PRAZO   ,,,30258790000170,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.singulareinvest.com.br,BRIGADEIRO FARIA LIMA - CEP: 1452919 CIDADE: SÃO PAULO UF: SP,11,28273821,0,DIRETOR RESPONSAVEL                     ,DANIEL DOLL LEMOS,BRIGADEIRO FARIA LIMA - CEP: 1452919 CIDADE: SÃO PAULO UF: SP,11,28273821,0,fii.adm@singulare.com.br,PRAZO - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII   ,39325,2021-04-16,,,,,SINGULARE CORRETORA DE TITULOS E VALORES,"AV BRIG. FARIA LIMA, 1355 - 5.ANDAR - CEP: 1452002 Cidade: SÃO PAULO UF: SP",11,28273500,0,daniel@singulare.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJQUlpTIn0=
CXCE,FII CX CEDAE,CXCE11B ,,10991914000115,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.caixa.gov.br,"AV PAULISTA, 750 - 9º andar - CEP: 1310100 CIDADE: SÃO PAULO UF: SP",11,35724600,35724600,DIRETOR RESPONSAVEL                     ,DANIEL CHRISTOVAO DA COSTA E SILVA,"AV PAULISTA, 750 - 9º andar - CEP: 1310100 CIDADE: SÃO PAULO UF: SP",11,35724600,35724600,fundosdeinvestimento@caixa.gov.br,FDO INV IMOB CAIXA CEDAE                          ,1712950,2020-06-24,,['CXCE11B'],,,CM CAPITAL MARKETS CCTVM S.A.           ,"R GOMES DE CARVALHO, 1195 - CEP: 45487004 Cidade: SAO PAULO UF: SP",11,38421122,0,rogerio.felgueiras@cmcapitalmarkets.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJDWENFIn0=
NCRI,FII NAVI CRI,NCRI11 ,,40041603000156,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,,"Rua Iguatemi, 151 - 19º andar (parte) - CEP: 1451011 CIDADE: SÃO PAULO UF: SP",11,31330360,0,DIRETOR RESPONSAVEL                     ,DANILO CHRISTÓFARO BARBIERI,"Rua Iguatemi, 151 - 19º andar (parte) - CEP: 1451011 CIDADE: SÃO PAULO UF: SP",11,31330360,0,fii@brltrust.com.br,NAVI CRÉDITO IMOBILIÁRIO - FDO INV IMOB           ,3949999,2022-12-27,,['NCRI11'],,,BRL TRUST DTVM S.A.                     ,"R IGUATEMI, 151 - 19.ANDAR - CEP: 1451011 Cidade: SAO PAULO UF: SP",11,31330350,0,funds@brltrust.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJOQ1JJIn0=
LAVF,FII LAVOURA ,,,37467733000140,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,https://www.brcapitalinvestimentos.com/,Avenida das Nações Unidas - CEP: 4753100 CIDADE: São Paulo UF: SP,11,55083500,0,DIRETOR RESPONSAVEL                     ,CAROLINA ANDREA GARISTO GREGÓRIO                            ,Avenida das Nações Unidas - CEP: 4753100 CIDADE: São Paulo UF: SP,11,55083500,0,carolina.gregorio@brcapital.com.br, LAVOURA FUNDO DE INVESTIMENTO IMOBILIÁRIO        ,100000,2021-12-17,,,,,BR-CAPITAL DTVM S/A                     ,"AV DAS NAÇÕES UNIDAS, 11857 - CEP: 4578908 Cidade: SÃO PAULO UF: SP",11,55083500,0,crl@unitas.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJjbnBqIjoiMzc0Njc3MzMwMDAxNDAiLCJpZGVudGlmaWVyRnVuZCI6IkxBVkYiLCJ0eXBlRnVuZCI6N30=
BBRC,FII BB CORP ,BBRC11 ,,12681340000104,Financeiro e Outros/Fundos/Fundos Imobiliários,www.vam.com.br,AV DAS NAÇÕES UNIDAS 14171 - TORRE A - 7 ANDAR - CEP: 4794000 CIDADE: SÃO PAULO UF: SP,11,51715053,51715057,DIRETOR RESPONSAVEL,ALEXANDRE LUIZ ZIMATH,AV DAS NAÇÕES UNIDAS 14171 - TORRE A - 7 ANDAR - CEP: 4794000 CIDADE: SÃO PAULO UF: SP,11,51715053,51715057,vam-cvm@vam.com.br,BB RENDA CORPORATIVA FDO INV IMOB - FII           ,1590000,2011-06-14,,['BBRC11'],,,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.  ,AV DAS NAÇÕES UNIDAS 14171 - TORRE A/7.ANDAR - CEP: 4794970 Cidade: SÃO PAULO UF: SP,11,51715053,51715057,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjEyNjgxMzQwMDAwMTA0IiwiaWRlbnRpZmllckZ1bmQiOiJCQlJDIn0=
HTMX,FII HOTEL MX,HTMX11 ,,8706065000169,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.btgpactual.com/home/assetmanagement.aspx/FundosInvestimentoImobiliario,"PRAIA DE BOTAFOGO, 501 - 5 ANDAR - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",11,33833441,40814697,DIRETOR RESPONSAVEL                     ,ALLAN HADID                                                 ,"BRIGADEIRO FARIA LIMA, 3729 - 9 ANDAR - CEP: 4538133 CIDADE: SÃO PAULO UF: SP",11,33833441,40814697,sh-contato-fundoimobiliario@btgpactual.com,FDO INV IMOB - FII HOTEL MAXINVEST                ,1504334,2022-07-18,,['HTMX11'],,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjA4NzA2MDY1MDAwMTY5IiwiaWRlbnRpZmllckZ1bmQiOiJIVE1YIn0=
LOFT,FII LOFT I  ,,,19722048000131,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.modal.com.br,"PRAIA DE BOTAFOGO, 501,  - BLOCO I - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",21,45601000,32237738,DIRETOR RESPONSAVEL                     ,EDUARDO CENTOLA,"PRAIA DE BOTAFOGO, 501,  - BLOCO I - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",21,45601000,32237738,juridico.admfiduciaria@modal.com.br,LOFT I - FDO INV IMOB                             ,3254267,2019-11-22,,,,,BANCO MODAL S.A                         ,PRAIA DE BOTAFOGO 501 - BLOCO 1 - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32237700,0,fundosespeciais@modal.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjE5NzIyMDQ4MDAwMTMxIiwiaWRlbnRpZmllckZ1bmQiOiJMT0ZUIn0=
XPHT,FII XP HOT  ,XPHT11 XPHT12 ,,18308516000163,Financeiro e Outros/Fundos/Fundos Imobiliários,www.gerafuturo.com.br,R PRAIA DE BOTAFOGO 228 - SALA 913 - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ,21,32063110,0,DIRETOR RESPONSAVEL,GUILHERME CHARNAUX GRUMSER,R PRAIA DE BOTAFOGO 228 - SALA 913 - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ,21,32063110,0,atendimentocvm@brasilplural.com,XP HOTÉIS - FDO INV IMOB - FII                    ,3804642,2021-03-05,,"['XPHT11', 'XPHT12']",,,BANCO GENIAL S.A.                       ,"PRAIA DO BOTAFOGO, 228 - SALA 907 - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ",21,25400303,0,escrituracao@bancogenial.com,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJYUEhUIn0=
HGAG,FIAGRO HIGH ,HGAG11 ,,40343867000164,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,https://vortx.com.br/,"RUA GILBERTO SABINO, 215 - 4º ANDAR - CEP: 5425020 CIDADE: SÃO PAULO UF: SP",11,30307177,0,DIRETOR RESPONSAVEL                     ,ERNANE DIVINO DOS SANTOS ALVES                              ,"RUA GILBERTO SABINO, 215 - 4º ANDAR - CEP: 5425020 CIDADE: SÃO PAULO UF: SP",11,30307177,0,admfundos@vortx.com.br,HIGH FUNDO DE INVESTIMENTO AGRO FIAGRO IMOB       ,248252,2022-08-05,,['HGAG11'],,,VORTX DTVM LTDA.                        ,R GILBERTO SABINO 215 - 4 ANDAR - CEP: 5425020 Cidade: SAO PAULO UF: SP,11,30307177,30307177,escrituracao@vortx.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJjbnBqIjoiNDAzNDM4NjcwMDAxNjQiLCJpZGVudGlmaWVyRnVuZCI6IkhHQUciLCJ0eXBlRnVuZCI6MzR9
JCDB,FII JCDB 02 ,,,35705542000144,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,https://www.brltrust.com.br/,"Rua Iguatemi, 151 - 19º andar (parte) - CEP: 1451011 CIDADE: São Paulo UF: SP",11,31330360,0,DIRETOR RESPONSAVEL                     ,DANILO CHRISTÓFARO BARBIERI,"Rua Iguatemi, 151 - 19º andar (parte) - CEP: 1451011 CIDADE: São Paulo UF: SP",11,31330360,0,juridico.fundos@brltrust.com.br,JACARANDÁ 02 FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,769499,2022-08-18,,,,,BRL TRUST DTVM S.A.                     ,"R IGUATEMI, 151 - 19.ANDAR - CEP: 1451011 Cidade: SAO PAULO UF: SP",11,31330350,0,funds@brltrust.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJjbnBqIjoiMzU3MDU1NDIwMDAxNDQiLCJpZGVudGlmaWVyRnVuZCI6IkpDREIiLCJ0eXBlRnVuZCI6N30=
HUSC,FII H UNIMED,HUSC11 ,,28851767000143,Financeiro e Outros/Fundos/Fundos Imobiliários,WWW.RIOBRAVO.COM.BR,AV CHEDID JAFET 222 - BLOCO B - 3 ANDAR - CEP: 4551065 CIDADE: SÃO PAULO UF: SP,11,35096600,35096699,DIRETOR RESPONSAVEL,PAULO ANDRÉ PORTO BILYK,AV CHEDID JAFET 222 - BLOCO B - 3 ANDAR - CEP: 4551065 CIDADE: SÃO PAULO UF: SP,11,35096600,35096699,CORRESPONDENCIA@RIOBRAVO.COM.BR,FDO INV IMOB HOSPITAL UNIMED SUL CAPIXABA         ,850821,2018-06-11,,['HUSC11'],,,RIO BRAVO INVESTIMENTOS DTVM S.A.       ,"AV CHEDID JAFET, 222 - BLOCO B - 3.ANDAR - CEP: 4551065 Cidade: SAO PAULO UF: SP",11,35096600,0,escrituracao@riobravo.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJIVVNDIn0=
MAVC,FIAGRO MAVC ,,,40911470000121,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,https://rdpinvestimentos.com.br/,"Praia de Botafogo, 228 - 9º andar, sala 907 - CEP: 22250145 CIDADE: Rio de Janeiro UF: RJ",11,32068381,0,DIRETOR RESPONSAVEL                     ,RODRIGO GODOY ,"Praia de Botafogo, 228 - 9º andar, sala 907 - CEP: 22250145 CIDADE: Rio de Janeiro UF: RJ",11,32068381,0,middleadm@genial.com.vc,MAV CRÉDITO - FIAGRO-IMOBILIÁRIO                  ,1500000,2022-12-05,,,,,BANCO GENIAL S.A.                       ,"PRAIA DO BOTAFOGO, 228 - SALA 907 - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ",21,25400303,0,escrituracao@bancogenial.com,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6MzQsImlkZW50aWZpZXJGdW5kIjoiTUFWQyJ9
CXCO,FII CEF CORP,CXCO11 ,,38658984000175,Financeiro e Outros/Fundos/Fundos Imobiliários,https://vortx.com.br/,R Gilberto Sabino 215 - 4º andar - CEP: 5425020 CIDADE: SÃO PAULO UF: SP,11,30307177,0,DIRETOR RESPONSAVEL,ERNANE DIVINO DOS SANTOS ALVES,R Gilberto Sabino 215 - 4º andar - CEP: 5425020 CIDADE: SÃO PAULO UF: SP,11,30307177,0,juridicofundos@vortx.com.br,FDO. INV. IMOB. CAIXA IMÓVEIS CORPORATIVOS        ,3924500,2020-12-28,,['CXCO11'],,,VORTX DTVM LTDA.                        ,R GILBERTO SABINO 215 - 4 ANDAR - CEP: 5425020 Cidade: SAO PAULO UF: SP,11,30307177,30307177,escrituracao@vortx.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJDWENPIn0=
KNPR,FII KINEA PR,,,42737059000107,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-premium-properties-knpr11/,"Avenida Brigadeiro Faria Lima, 3500 - 4º Andar - CEP: 5426100 CIDADE: São Paulo UF: SP",11,30726017,0,DIRETOR RESPONSAVEL                     ,ROBERTA ANCHIETA DA SILVA,"Avenida Brigadeiro Faria Lima, 3500 - 4º Andar - CEP: 5426100 CIDADE: São Paulo UF: SP",11,30726017,0,produtosestruturados@itau-unibanco.com.br,KINEA PREMIUM PROPERTIES FDO INV IMOB             ,1750000,2022-07-18,,,,,ITAU CORRETORA ACOES                    ,RUA BOA VISTA 176 - 1.SUBSOLO - CEP: 1013001 Cidade: SÃO PAULO UF: SP,11,30039285,0,investfone@itau-unibanco.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJjbnBqIjoiNDI3MzcwNTkwMDAxMDciLCJpZGVudGlmaWVyRnVuZCI6IktOUFIiLCJ0eXBlRnVuZCI6N30=
WSEC,FII WARREN  ,WSEC11 ,,43440579000116,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,https://warren.com.br/,"Avenida Osvaldo Aranha, 720 - 2º andar - CEP: 90035191 CIDADE: Porto Alegre UF: RS",51,40420024,0,DIRETOR RESPONSAVEL                     ,TITO CAPITANI GUSMÃO,"Avenida Osvaldo Aranha, 720 - 2º andar - CEP: 90035191 CIDADE: Porto Alegre UF: RS",51,40420024,0,juridico@warren.com.br,WARREN SECURITIES FDO DE INV IMOB - FII           ,245651,2022-10-06,,['WSEC11'],,,BANCO DAYCOVAL S/A                      ,AV Paulista 1793 - CEP: 1311200 Cidade: São Paulo UF: SP,11,31381024,0,ricardo.gelbaum@bancodaycoval.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJXU0VDIn0=
KCRE,FII KINEA CR,KCRE11 ,,42502802000140,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,https://www.intrag.com.br/intrag-pt/index.html,"AVENIDA BRIGADEIRO FARIA LIMA, 3400 - AVENIDA BRIGADEIRO FARIA LIMA - CEP: 4538132 CIDADE: SÃO PAULO UF: SP",11,30726089,0,DIRETOR RESPONSAVEL                     ,FABIO SONODA,"AVENIDA BRIGADEIRO FARIA LIMA, 3400 - AVENIDA BRIGADEIRO FARIA LIMA - CEP: 4538132 CIDADE: SÃO PAULO UF: SP",11,30726089,0,produtosestruturados@itau-unibanco.com.br,KINEA CREDITAS FDO DE INV IMOBILIÁRIO - FII       ,3600000,2022-06-10,,['KCRE11'],,,ITAU CORRETORA ACOES                    ,RUA BOA VISTA 176 - 1.SUBSOLO - CEP: 1013001 Cidade: SÃO PAULO UF: SP,11,30039285,0,investfone@itau-unibanco.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjQyNTAyODAyMDAwMTQwIiwiaWRlbnRpZmllckZ1bmQiOiJLQ1JFIn0=
PLCA,FIAGRO PLUR ,PLCA11 ,,41272747000186,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.bancogenial.com/pt-br,"PRAIA DE BOTAFOGO, 228 - 9 ANDAR, SALA 907 - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",11,32068000,0,DIRETOR RESPONSAVEL                     ,RODRIGO GODOY,"PRAIA DE BOTAFOGO, 228 - 9 ANDAR, SALA 907 - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",11,32068000,0,middleadm@bancogenial.com,PLURAL CRÉDITO AGRO - FIAGRO - IMOBILIÁRIO        ,557019,2022-08-08,,['PLCA11'],,,BANCO GENIAL S.A.                       ,"PRAIA DO BOTAFOGO, 228 - SALA 907 - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ",21,25400303,0,escrituracao@bancogenial.com,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6MzQsImNucGoiOiI0MTI3Mjc0NzAwMDE4NiIsImlkZW50aWZpZXJGdW5kIjoiUExDQSJ9
AFHI,FII AFHI CRI,AFHI11 ,,36642293000158,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.btgpactual.com/asset-management/administracao-fiduciaria,"PRAIA DO BOTAFOGO, 501 - 5 ANDAR, PARTE - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",11,33832513,0,DIRETOR RESPONSAVEL                     ,ALLNA HADID                                                 ,"PRAIA DO BOTAFOGO, 501 - 5 ANDAR, PARTE - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",11,33832513,0,ol-reguladores@btgpactual.com,AF INVEST CRI FDO. INV. IMOB - RECEBÍVEIS IMOB.   ,3019453,2022-07-04,,['AFHI11'],,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJjbnBqIjoiMzY2NDIyOTMwMDAxNTgiLCJpZGVudGlmaWVyRnVuZCI6IkFGSEkiLCJ0eXBlRnVuZCI6N30=
DPRO,FII DEVA PRO,DPRO11 ,,42922127000108,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,https://www.devantasset.com.br/,Avenida Paulista - CEP: 1311200 CIDADE: SÃO PAULO UF: SP,11,31381300,0,DIRETOR RESPONSAVEL                     ,ERICK WARNER DE CARVALHO                                    ,Avenida Paulista - CEP: 1311200 CIDADE: SÃO PAULO UF: SP,11,31381300,0,erick.carvalho@bancodaycoval.com.br,DEVANT PROPERTIES FUNDO DE INVESTIMENTO IMOB      ,1000000,2022-05-25,,['DPRO11'],,,BANCO DAYCOVAL S/A                      ,AV Paulista 1793 - CEP: 1311200 Cidade: São Paulo UF: SP,11,31381024,0,ricardo.gelbaum@bancodaycoval.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjQyOTIyMTI3MDAwMTA4IiwiaWRlbnRpZmllckZ1bmQiOiJEUFJPIn0=
SHDP,FII SHOP PDP,SHDP11B ,,7224019000160,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.btgpactual.com,"PRAIA DE BOTAFOGO,, 501 - 5.ANDAR - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",11,33833441,32628600,DIRETOR RESPONSAVEL                     ,ALLAN HADID                                                 ,"PRAIA DE BOTAFOGO,, 501 - 5.ANDAR - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",11,33833441,32628600,sh-contato-fundoimobiliario@btgpactual.com,FDO INV IMOB - FII SHOPPING PARQUE D. PEDRO       ,1467793,2022-05-05,,['SHDP11B'],,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjA3MjI0MDE5MDAwMTYwIiwiaWRlbnRpZmllckZ1bmQiOiJTSERQIn0=
OUFF,FII OURI FOF,OUFF11 ,,30791386000168,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.ourinvest.com.br,PAULISTA - CEP: 1310919 CIDADE: SÃO PAULO UF: SP,11,40814444,0,DIRETOR RESPONSAVEL                     ,DAVID ASSINE,PAULISTA - CEP: 1310919 CIDADE: SÃO PAULO UF: SP,11,40814444,0,fundos.imobiliarios@ourinvest.com.br,FDO INV IMOB - OURINVEST FUNDO DE FUNDOS          ,1814336,2020-08-14,,['OUFF11'],,,ITAU CORRETORA ACOES                    ,RUA BOA VISTA 176 - 1.SUBSOLO - CEP: 1013001 Cidade: SÃO PAULO UF: SP,11,30039285,0,investfone@itau-unibanco.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJPVUZGIn0=
AAZQ,FIAGRO AAZQ ,AAZQ11 ,,44625826000111,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.xpi.com.br/,"Avenida Ataulfo de Paiva, 153 - sALA 201 - CEP: 22440032 CIDADE: RIO DE JANEIRO UF: RJ",11,30272237,0,DIRETOR RESPONSAVEL                     ,LIZANDRO SOMMER ARNONI,"Avenida Ataulfo de Paiva, 153 - sALA 201 - CEP: 22440032 CIDADE: RIO DE JANEIRO UF: RJ",11,30272237,0,juridico.regulatorio@xpi.com.br,AZ QUEST SOLE FDO DE INV - FIAGRO - IMOBILIARIO   ,24037284,2022-12-12,,['AAZQ11'],,,OLIVEIRA TRUST                          ,AV DAS AMÉRICAS 500 - BLOCO 13-GRUPO 205 - CEP: 22640100 Cidade: RIO DE JANEIRO UF: RJ,21,35140000,35140099,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJjbnBqIjoiNDQ2MjU4MjYwMDAxMTEiLCJpZGVudGlmaWVyRnVuZCI6IkFBWlEiLCJ0eXBlRnVuZCI6MzR9
ASRF,FII ASA RET ,,,45188033000145,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,asainvestments.com,"Praia de Botafogo, 501 - 5º andar (parte), Torre Corcovado - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: SP",11,33832513,0,DIRETOR RESPONSAVEL                     ,ALLAN HADID                                                 ,"Praia de Botafogo, 501 - 5º andar (parte), Torre Corcovado - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: SP",11,33832513,0,ol-ri-fundos-psf@btgpactual.com,ASA RETROFITS I FDO DE INV IMOB - FII             ,4000,2023-01-02,,,,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjQ1MTg4MDMzMDAwMTQ1IiwiaWRlbnRpZmllckZ1bmQiOiJBU1JGIn0=
FPNG,FII P NEGRA ,FPNG11 ,,17161979000182,Financeiro e Outros/Fundos/Fundos Imobiliários,www.brcapitaldtvm.com.br,AV DAS NAÇOES UNIDAS 11857 - 11 AND - CJ 111 - CEP: 4578908 CIDADE: SÃO PAULO UF: SP,11,55083500,55064033,DIRETOR RESPONSAVEL,HORACIO MARIO KLEINMAN,AV DAS NAÇOES UNIDAS 11857 - 11 AND - CJ 111 - CEP: 4578908 CIDADE: SÃO PAULO UF: SP,11,55083500,55064033,brcapital@brcapital.com.br,FDO INV IMOB PEDRA NEGRA RENDA IMOB               ,791000,2016-08-25,,['FPNG11'],,,ITAU CORRETORA ACOES                    ,RUA BOA VISTA 176 - 1.SUBSOLO - CEP: 1013001 Cidade: SÃO PAULO UF: SP,11,30039285,0,investfone@itau-unibanco.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJGUE5HIn0=
